名称,地址,经度,纬度,类别,日营业额,面积(㎡),人均消费,评分,品牌分,营业时间,停车位,标签
正宗裤带面(电子城电子正街店),陕西省西安市雁塔区雁塔西路21号,108.917306,34.207408,面馆,8000,102,29,3.9,4.6,10:00-22:00,无,"社区,居民区,稳定客流"
小骆驼烧烤(曲江芙蓉新天地店),陕西省西安市雁塔区含光路25号,108.972556,34.213445,烧烤,8708,350,75,4.2,4.7,17:00-02:00,路边,"文旅区,中高端客群,临街"
小骆驼烧烤(曲江金地广场店),陕西省西安市雁塔区翠华路33号,108.975237,34.206426,烧烤,25000,265,90,4.6,4.3,16:00-01:00,无,"高端社区,家庭客群,高消费"
德克士(未央凤城五路店),陕西省西安市未央区未央路17号,108.939321,34.332171,快餐,9753,80,34,3.9,3.1,06:00-23:00,有,"行政中心,社区,家庭客群"
东南亚甑糕(高新科技路店),陕西省西安市高新区沣惠南路11号,108.896362,34.229072,小吃,2776,27,18,4.1,3.7,06:00-20:00,路边,"商务区,高收入客群,白领"
柳巷面(明德门朱雀大街店),陕西省西安市雁塔区翠华路14号,108.933884,34.203350,面馆,7005,114,25,3.7,4.3,10:00-22:00,无,"社区,交通干道,中老年客群"
必胜客(新城解放路店),陕西省西安市新城区尚德路13号,108.962322,34.267545,西餐,19958,245,91,3.9,3.1,"11:00-14:00,17:00-21:00",有(地面),"老商圈,社区,中老年客群"
牛排家(大唐不夜城店),陕西省西安市雁塔区丈八东路7号,108.962456,34.210828,西餐,27009,232,100,4.7,4.1,11:00-22:00,有(地下),"景区,夜间经济,高消费"
老李家biangbiang面(钟楼粉巷店),陕西省西安市碑林区南大街3号,108.944560,34.258647,面馆,5269,42,23,3.5,3.8,10:00-22:00,路边,"特色街区,年轻客群,酒吧文化"
塞纳河法餐厅(大唐不夜城店),陕西省西安市雁塔区长安中路6号,108.961267,34.213078,西餐,8659,351,136,4.2,3.1,10:00-23:00,无,"景区,夜间经济,高消费"
奈雪的茶(曲江金地广场店),陕西省西安市雁塔区慈恩路21号,108.977683,34.205864,茶饮,5698,46,25,4.1,4.0,09:00-23:00,无,"高端社区,家庭客群,高消费"
卤校长老火锅(省体育场长安路店),陕西省西安市碑林区柏树林3号,108.945133,34.241940,火锅,29900,656,143,4.0,3.3,11:00-02:00,无,"文体区,年轻客群,赛事客流"
茶话弄(小寨兴善寺西街店),陕西省西安市雁塔区小寨东路22号,108.939344,34.222844,茶饮,5127,38,12,4.6,4.2,08:00-22:00,有,"社区,学生客群,临街"
清真锦翔炝锅鱼(钟楼粉巷店),陕西省西安市碑林区粉巷5号,108.942061,34.256633,中餐,34148,292,72,4.3,3.9,"11:00-14:00,17:00-21:00",有(地下),"特色街区,年轻客群,酒吧文化"
好利来(莲湖龙首原店),陕西省西安市莲湖区劳动路5号,108.943076,34.286814,烘焙,5049,86,33,4.3,4.4,09:00-21:00,无,"社区,交通枢纽,中端消费"
袁记肉夹馍(李家村万达店),陕西省西安市碑林区南大街22号,108.959226,34.240276,小吃,3010,46,11,4.1,3.7,08:00-21:00,路边,"购物中心,学生客群,社区"
蜜雪冰城(曲江芙蓉新天地店),陕西省西安市雁塔区电子正街26号,108.976320,34.213842,茶饮,4137,55,23,4.2,5.0,08:00-22:00,无,"文旅区,中高端客群,临街"
COMMUNE(钟楼南大街店),陕西省西安市碑林区友谊路17号,108.949351,34.257717,西餐,17260,347,129,3.8,5.0,10:00-23:00,有(地下),"核心商圈,商务客群,高消费"
魏斯理汉堡(长安韦曲店),陕西省西安市长安区西长安街11号,108.926301,34.159020,快餐,6299,179,46,4.0,4.2,10:00-22:00,有,"郊区社区,刚需消费,低租金"
阿三生煎(钟楼粉巷店),陕西省西安市碑林区长安北路28号,108.941311,34.257172,快餐,10651,130,44,3.7,4.5,10:00-22:00,有(地下),"特色街区,年轻客群,酒吧文化"
蜀大侠火锅(钟楼东大街店),陕西省西安市碑林区和平路3号,108.951445,34.261788,火锅,53610,514,80,4.8,4.4,11:00-02:00,有(地面),"核心商圈,旅游客群,高租金"
盛志望麻酱酿皮(大悦城店),陕西省西安市雁塔区含光路44号,108.961839,34.216303,小吃,2461,21,16,4.3,4.6,08:00-21:00,无,"购物中心,家庭客群,高客流"
卤校长老火锅(南稍门中贸广场店),陕西省西安市碑林区和平路26号,108.946110,34.242118,火锅,29553,437,97,4.8,5.0,11:00-02:00,无,"购物中心,社区,家庭客群"
东南亚甑糕(电视塔会展中心店),陕西省西安市雁塔区慈恩路14号,108.950306,34.199952,小吃,2668,19,14,4.1,3.6,06:00-20:00,路边,"商务区,会展客流,工作日密集"
尚寨嫽扎咧面馆(大雁塔北广场店),陕西省西安市雁塔区长安中路7号,108.962288,34.217429,面馆,6368,96,22,4.1,4.5,08:00-21:00,路边,"景区,旅游客群,夜间经济"
COMMUNE(曲江芙蓉新天地店),陕西省西安市雁塔区电子正街51号,108.974195,34.210608,西餐,20871,269,91,4.8,3.8,"11:00-14:00,17:00-21:00",无,"文旅区,中高端客群,临街"
小骆驼烧烤(钟楼东大街店),陕西省西安市碑林区东大街13号,108.953339,34.259276,烧烤,16945,265,77,4.5,4.5,17:00-02:00,无,"核心商圈,旅游客群,高租金"
卤校长老火锅(未央凤城五路店),陕西省西安市未央区凤城五路5号,108.938140,34.330673,火锅,34917,533,141,4.0,3.5,11:00-02:00,有(地面),"行政中心,社区,家庭客群"
牛排家(小寨长安中路店),陕西省西安市雁塔区电子正街7号,108.946084,34.220393,西餐,24876,262,83,4.7,4.7,10:00-23:00,有(地面),"商圈,交通枢纽,高曝光"
定家小酥肉(李家村万达店),陕西省西安市碑林区柏树林22号,108.962036,34.242895,小吃,2411,37,12,4.2,4.0,08:00-21:00,无,"购物中心,学生客群,社区"
